"title","writer","page","price"
"맛있는 디자인 포토샵 & 드림위버 CC","임화연 , 이해령 ",508,20700
"전문가를 위한 파이썬","루시아누 하말류 ",872,49500
"회사에서 바로 통하는 오토캐드 2017","심미현 ",672,25200
"7가지 동시성 모델","폴 부처 ",364,22500
"처음부터 다시 배우는 웹 기획","정재용 , 최준호 , 조영수 ",340,25200
"D3.js 인 액션","일리야 미크스 ",508,27000
"게임스토밍","데이브 그레이 , 서니 브라운 , 제임스 매카누포 ",352,16200
"모던 웹을 위한 Node.js 프로그래밍 3판","윤인성 ",544,22500
"회사에서 바로 통하는 엑셀 데이터 활용+분석","김경자 , 송선영 ",432,17820
"이것이 SQL Server다","우재남 ",720,27000
"함수형 사고","닐 포드 ",200,16200
"게임 프로그래밍 패턴","로버트 나이스트롬 ",400,31500
"실전 게임 제작으로 배우는 언리얼 엔진 4","미나토 카즈히사 ",703,40500
"알고리즘 문제 풀이 전략","조중필 , 한현상 , 이주호 ",724,30600
